"Top territories","Distribution"
"GB","0.586"
"US","0.093"
"AU","0.048"
"IE","0.048"
"CA","0.028"
"ZA","0.01"
"DE","0.007"
"NL","0.007"
"PH","0.006"
"RO","0.005"
"Others","0.162"
